অংথা	ꯑꯪꯊꯥ
অংলোং	ꯑꯪꯂꯣꯡ
অংলোংদা	ꯑꯪꯂꯣꯡꯗꯥ
অইন	ꯑꯏꯟ
অকশৈ	ꯑꯛꯁꯩ
অকানে	ꯑꯀꯥꯅꯦ
অকামপাৎ	ꯑꯀꯥꯝꯄꯥꯠ
অকামপাৎতা	ꯑꯀꯥꯝꯄꯥꯠꯇꯥ
অকাম্পাৎ	ꯑꯀꯥꯝꯄꯥꯠ
অকাম্পাৎতা	ꯑꯀꯥꯝꯄꯥꯠꯇꯥ
অকাম্পাৎনা	ꯑꯀꯥꯝꯄꯥꯠꯅꯥ
অকালি	ꯑꯀꯥꯂꯤ
অকাশ	ꯑꯀꯥꯁ
অকাশবনি	ꯑꯀꯥꯁꯕꯅꯤ
অকাশবানি	ꯑꯀꯥꯁꯕꯥꯅꯤ
অকাশবানিগা	ꯑꯀꯥꯁꯕꯥꯅꯤꯒꯥ
অকাশবানিগী	ꯑꯀꯥꯁꯕꯥꯅꯤꯒꯤ
অকাশবানিগীদি	ꯑꯀꯥꯁꯕꯥꯅꯤꯒꯤꯗꯤ
অকাশবানিদা	ꯑꯀꯥꯁꯕꯥꯅꯤꯗꯥ
অকাশবানিনসু	ꯑꯀꯥꯁꯕꯥꯅꯤꯅꯁꯨ
অকাশবানিনা	ꯑꯀꯥꯁꯕꯥꯅꯤꯅꯥ
অকাশাবনি	ꯑꯀꯥꯁꯥꯕꯅꯤ
অকাশাবানি	ꯑꯀꯥꯁꯥꯕꯥꯅꯤ
অকাশাবানিগী	ꯑꯀꯥꯁꯥꯕꯥꯅꯤꯒꯤ
অকাস	ꯑꯀꯥꯁ
অকােইজম	ꯑꯀꯣꯢꯖꯝ
অকিল	ꯑꯀꯤꯜ
অকোইজম	ꯑꯀꯣꯢꯖꯝ
অকোয়সনানা	ꯑꯀꯣꯢꯁꯅꯥꯅꯥ
অক্তর	ꯑꯛꯇꯔ
অক্তরনা	ꯑꯛꯇꯔꯅꯥ
