অ	ꯑ
অংগ্রেজশিংবু	ꯑꯪꯒ꯭ꯔꯦꯖꯁꯤꯡꯕꯨ
অংগ্রেসশিংনা	ꯑꯪꯒ꯭ꯔꯦꯁꯁꯤꯡꯅꯥ
অইং	ꯑꯏꯪ
অইংবদগী	ꯑꯏꯪꯕꯗꯒꯤ
অইংবা	ꯑꯏꯪꯕꯥ
অইবশিং	ꯑꯏꯕꯁꯤꯡ
অইবশিংগী	ꯑꯏꯕꯁꯤꯡꯒꯤ
অইবশিংনা	ꯑꯏꯕꯁꯤꯡꯅꯥ
অইবশিংবু	ꯑꯏꯕꯁꯤꯡꯕꯨ
অইবা	ꯑꯏꯕꯥ
অইবী	ꯑꯏꯕꯤ
অইবীশিংগী	ꯑꯏꯕꯤꯁꯤꯡꯒꯤ
অইবীশিংগীদমক	ꯑꯏꯕꯤꯁꯤꯡꯒꯤꯗꯃꯛ
অইবীশিংনা	ꯑꯏꯕꯤꯁꯤꯡꯅꯥ
অইবীশিংবু	ꯑꯏꯕꯤꯁꯤꯡꯕꯨ
অইসোলেসন	ꯑꯏꯁꯣꯂꯦꯁꯟ
অঈং	ꯑꯏꯪ
অউন	ꯑꯎꯟ
অউন্	ꯑꯎꯟ
অউবা	ꯑꯎꯕꯥ
অওং	ꯑꯑꯣꯡ
অওইবা	ꯑꯑꯣꯢꯕꯥ
অওক	ꯑꯑꯣꯛ
অওকশিং	ꯑꯑꯣꯛꯁꯤꯡ
অওকশিংদা	ꯑꯑꯣꯛꯁꯤꯡꯗꯥ
অওনবশিং	ꯑꯑꯣꯟꯕꯁꯤꯡ
অওনবশিংগী	ꯑꯑꯣꯟꯕꯁꯤꯡꯒꯤ
অওনবা	ꯑꯑꯣꯟꯕꯥ
অকংবদি	ꯑꯀꯪꯕꯗꯤ
অকংবদুদগী	ꯑꯀꯪꯕꯗꯨꯗꯒꯤ
অকংবনা	ꯑꯀꯪꯕꯅꯥ
অকংবা	ꯑꯀꯪꯕꯥ
অককনবা	ꯑꯀꯛꯅꯕꯥ
অকক্ননা	ꯑꯀꯛꯅꯅꯥ
অকক্নবা	ꯑꯀꯛꯅꯕꯥ
অকক্নহনবা	ꯑꯀꯛꯅꯍꯟꯕꯥ
অকক্পা	ꯑꯀꯛꯄꯥ
অকঙ্বা	ꯑꯀꯪꯕꯥ
অকনবা	ꯑꯀꯟꯕꯥ
অকন্	ꯑꯀꯟ
অকন্বদুনা	ꯑꯀꯟꯕꯗꯨꯅꯥ
অকন্বনা	ꯑꯀꯟꯕꯅꯥ
অকন্বনি	ꯑꯀꯟꯕꯅꯤ
অকন্ববু	ꯑꯀꯟꯕꯕꯨ
অকন্বশিংদুবু	ꯑꯀꯟꯕꯁꯤꯡꯗꯨꯕꯨ
অকন্বা	ꯑꯀꯟꯕꯥ
অকা	ꯑꯀꯥ
অকাই	ꯑꯀꯥꯢ
অকাইগী	ꯑꯀꯥꯢꯒꯤ
অকাইবা	ꯑꯀꯥꯢꯕꯥ
অকাইশিং	ꯑꯀꯥꯢꯁꯤꯡ
অকাবা	ꯑꯀꯥꯕꯥ
অকায়	ꯑꯀꯥꯢ
অকায়বা	ꯑꯀꯥꯢꯕꯥ
অকায়	ꯑꯀꯥꯢ
অকায়গী	ꯑꯀꯥꯢꯒꯤ
অকায়দগী	ꯑꯀꯥꯢꯗꯒꯤ
অকায়বদি	ꯑꯀꯥꯢꯕꯗꯤ
অকায়বশিং	ꯑꯀꯥꯢꯕꯁꯤꯡ
অকায়বা	ꯑꯀꯥꯢꯕꯥ
অকায়বাা	ꯑꯀꯥꯢꯕꯥ
অকায়শিং	ꯑꯀꯥꯢꯁꯤꯡ
অকায়শিংসু	ꯑꯀꯥꯢꯁꯤꯡꯁꯨ
অকায়্বা	ꯑꯀꯥꯢꯕꯥ
অকি	ꯑꯀꯤ
অকিব	ꯑꯀꯤꯕ
অকিবগী	ꯑꯀꯤꯕꯒꯤ
অকিবনা	ꯑꯀꯤꯕꯅꯥ
অকিবশিং	ꯑꯀꯤꯕꯁꯤꯡ
অকিবা	ꯑꯀꯤꯕꯥ
অকুপ্পা	ꯑꯀꯨꯞꯄꯥ
অকুম	ꯑꯀꯨꯝ
অকুৎপা	ꯑꯀꯨꯠꯄꯥ
অকূপ্পা	ꯑꯀꯨꯞꯄꯥ
অকে	ꯑꯀꯦ
অকোইবগী	ꯑꯀꯣꯢꯕꯒꯤ
অকোইবদা	ꯑꯀꯣꯢꯕꯗꯥ
অকোইবা	ꯑꯀꯣꯢꯕꯥ
অকোনগী	ꯑꯀꯣꯟꯒꯤ
অকোনবগী	ꯑꯀꯣꯟꯕꯒꯤ
অকোন্বগী	ꯑꯀꯣꯟꯕꯒꯤ
অকোন্বদদি	ꯑꯀꯣꯟꯕꯗꯗꯤ
অকোয়বগী	ꯑꯀꯣꯢꯕꯒꯤ
অকোয়বদা	ꯑꯀꯣꯢꯕꯗꯥ
অকোয়বা	ꯑꯀꯣꯢꯕꯥ
অকোয়্বদা	ꯑꯀꯣꯢꯕꯗꯥ
অকোয়্বদু	ꯑꯀꯣꯢꯕꯗꯨ
অকোয়্বা	ꯑꯀꯣꯢꯕꯥ
অখং	ꯑꯈꯪ
অখঙ	ꯑꯈꯪ
অখঙবা	ꯑꯈꯪꯕꯥ
অখন্ননা	ꯑꯈꯟꯅꯅꯥ
অখন্নবা	ꯑꯈꯟꯅꯕꯥ
অখম	ꯑꯈꯝ
অখাক	ꯑꯈꯥꯛ
অখাকপা	ꯑꯈꯥꯛꯄꯥ
অখাঙ	ꯑꯈꯥꯡ
অখাম	ꯑꯈꯥꯝ
অখুবা	ꯑꯈꯨꯕꯥ
অখুম	ꯑꯈꯨꯝ
অখোন্বা	ꯑꯈꯣꯟꯕꯥ
অখোয়	ꯑꯈꯣꯢ
অখোয়্দি	ꯑꯈꯣꯢꯗꯤ
অগনৱাদি	ꯑꯒꯟꯋꯥꯗꯤ
অঙংদুনা	ꯑꯉꯪꯗꯨꯅꯥ
অঙংশিংনা	ꯑꯉꯪꯁꯤꯡꯅꯥ
অঙকপনা	ꯑꯉꯛꯄꯅꯥ
অঙকপা	ꯑꯉꯛꯄꯥ
অঙক্পগী	ꯑꯉꯛꯄꯒꯤ
অঙক্পনা	ꯑꯉꯛꯄꯅꯥ
অঙক্পনি	ꯑꯉꯛꯄꯅꯤ
অঙক্পা	ꯑꯉꯛꯄꯥ
অঙন	ꯑꯉꯟ
অঙনফৌ	ꯑꯉꯟꯐꯧ
অঙনবদগী	ꯑꯉꯟꯕꯗꯒꯤ
অঙনবদা	ꯑꯉꯟꯕꯗ ꯥ
অঙনবা	ꯑꯉꯟꯕ ꯥ
অঙন্বদা	ꯑꯉꯟꯕꯗꯥ
অঙম	ꯑꯉꯝ
অঙম্	ꯑꯉꯝ
অঙম্বশিংগী	ꯑꯉꯝꯕꯁꯤꯡꯒꯤ
অঙম্বা	ꯑꯉꯝꯕꯥ
অঙম্বী	ꯑꯉꯝꯕꯤ
অঙাং	ꯑꯉꯥꯡ
অঙাংগা	ꯑꯉꯥꯡꯒꯥ
অঙাংগী	ꯑꯉꯥꯡꯒꯤ
অঙাংদা	ꯑꯉꯥꯡꯗꯥ
অঙাংদু	ꯑꯉꯥꯡꯗꯨ
অঙাংদুগী	ꯑꯉꯥꯡꯗꯨꯒꯤ
অঙাংদুনা	ꯑꯉꯥꯡꯗꯨꯅꯥ
অঙাংদো	ꯑꯉꯥꯡꯗꯣ
অঙাংনা	ꯑꯉꯥꯡꯅꯥ
অঙাংনি	ꯑꯉꯥꯡꯅꯤ
অঙাংনিনা	ꯑꯉꯥꯡꯅꯤꯅꯥ
অঙাংনোনে	ꯑꯉꯥꯡꯅꯣꯅꯦ
অঙাংবা	ꯑꯉꯥꯡꯕꯥ
অঙাংবু	ꯑꯉꯥꯡꯕꯨ
অঙাংমচাশিংগী	ꯑꯉꯥꯡꯃꯆꯥꯁꯤꯡꯒꯤ
অঙাংশা	ꯑꯉꯥꯡꯁꯥ
অঙাংশিং	ꯑꯉꯥꯡꯁꯤꯡ
অঙাংশিংগা	ꯑꯉꯥꯡꯁꯤꯡꯒꯥ
অঙাংশিংগী	ꯑꯉꯥꯡꯁꯤꯡꯒꯤ
অঙাংশিংগীদমক	ꯑꯉꯥꯡꯁꯤꯡꯒꯤꯗꯃꯛ
অঙাংশিংগীদমকসু	ꯑꯉꯥꯡꯁꯤꯡꯒꯤꯗꯃꯛꯁꯨ
অঙাংশিংগীনা	ꯑꯉꯥꯡꯁꯤꯡꯒꯤꯅꯥ
অঙাংশিংদগী	ꯑꯉꯥꯡꯁꯤꯡꯗꯒꯤ
অঙাংশিংদা	ꯑꯉꯥꯡꯁꯤꯡꯗꯥ
অঙাংশিংদি	ꯑꯉꯥꯡꯁꯤꯡꯗꯤ
অঙাংশিংদুনা	ꯑꯉꯥꯡꯁꯤꯡꯗꯨꯅꯥ
