অ	ꯑ
অইংবা	ꯑꯏꯪꯕꯥ
অইবা	ꯑꯏꯕꯥ
অউন	ꯑꯎꯟ
অউন্	ꯑꯎꯟ
অউবা	ꯑꯎꯕꯥ
অওং	ꯑꯑꯣꯡ
অওইবা	ꯑꯑꯣꯢꯕꯥ
অকংবদি	ꯑꯀꯪꯕꯗꯤ
অকংবদুদগী	ꯑꯀꯪꯕꯗꯨꯗꯒꯤ
অকংবনা	ꯑꯀꯪꯕꯅꯥ
অকংবা	ꯑꯀꯪꯕꯥ
অকক্পা	ꯑꯀꯛꯄꯥ
অকঙ্বা	ꯑꯀꯪꯕꯥ
অকনবা	ꯑꯀꯟꯕꯥ
অকন্	ꯑꯀꯟ
অকন্বদুনা	ꯑꯀꯟꯕꯗꯨꯅꯥ
অকন্বনা	ꯑꯀꯟꯕꯅꯥ
অকন্বনি	ꯑꯀꯟꯕꯅꯤ
অকন্ববু	ꯑꯀꯟꯕꯕꯨ
অকন্বশিংদুবু	ꯑꯀꯟꯕꯁꯤꯡꯗꯨꯕꯨ
অকন্বা	ꯑꯀꯟꯕꯥ
অকায়	ꯑꯀꯥꯢ
অকায়বা	ꯑꯀꯥꯢꯕꯥ
অকােইজম	ꯑꯀꯣꯢꯖꯝ
অকায়বা	ꯑꯀꯥꯢꯕꯥ
অকায়্বা	ꯑꯀꯥꯢꯕꯥ
অকিবগী	ꯑꯀꯤꯕꯒꯤ
অকিবশিং	ꯑꯀꯤꯕꯁꯤꯡ
অকিবা	ꯑꯀꯤꯕꯥ
অকূপ্পা	ꯑꯀꯨꯞꯄꯥ
অকে	ꯑꯀꯦ
অকোইবগী	ꯑꯀꯣꯢꯕꯒꯤ
অকোন্বগী	ꯑꯀꯣꯟꯕꯒꯤ
অকোন্বদদি	ꯑꯀꯣꯟꯕꯗꯗꯤ
অকোয়বদা	ꯑꯀꯣꯢꯕꯗꯥ
অকোয়্বদা	ꯑꯀꯣꯢꯕꯗꯥ
অকোয়্বদু	ꯑꯀꯣꯢꯕꯗꯨ
অকোয়্বা	ꯑꯀꯣꯢꯕꯥ
অখঙ	ꯑꯈꯪ
অখঙবা	ꯑꯈꯪꯕꯥ
অখাক	ꯑꯈꯥꯛ
অখুবা	ꯑꯈꯨꯕꯥ
অখুম	ꯑꯈꯨꯝ
অখোন্বা	ꯑꯈꯣꯟꯕꯥ
অখোয়	ꯑꯈꯣꯢ
অখোয়্দি	ꯑꯈꯣꯢꯗꯤ
অগনৈসকা	ꯑꯒꯅꯩꯁꯀꯥ
অগস্ত	ꯑꯒꯁ꯭ꯇ
অগে	ꯑꯒꯦ
অঙংদুনা	ꯑꯉꯪꯗꯨꯅꯥ
অঙংশিংনা	ꯑꯉꯪꯁꯤꯡꯅꯥ
অঙকপনা	ꯑꯉꯛꯄꯅꯥ
অঙকপা	ꯑꯉꯛꯄꯥ
অঙক্পগী	ꯑꯉꯛꯄꯒꯤ
অঙক্পনা	ꯑꯉꯛꯄꯅꯥ
অঙক্পনি	ꯑꯉꯛꯄꯅꯤ
অঙক্পা	ꯑꯉꯛꯄꯥ
অঙনফৌ	ꯑꯉꯟꯐꯧ
অঙনবদা	ꯑꯉꯟꯕꯗ ꯥ
অঙন্বদা	ꯑꯉꯟꯕꯗꯥ
অঙম	ꯑꯉꯝ
অঙম্	ꯑꯉꯝ
অঙম্বশিংগী	ꯑꯉꯝꯕꯁꯤꯡꯒꯤ
অঙম্বা	ꯑꯉꯝꯕꯥ
অঙাং	ꯑꯉꯥꯡ
অঙাংগা	ꯑꯉꯥꯡꯒꯥ
অঙাংগী	ꯑꯉꯥꯡꯒꯤ
অঙাংদু	ꯑꯉꯥꯡꯗꯨ
অঙাংদুগী	ꯑꯉꯥꯡꯗꯨꯒꯤ
অঙাংদুনা	ꯑꯉꯥꯡꯗꯨꯅꯥ
অঙাংদো	ꯑꯉꯥꯡꯗꯣ
অঙাংনা	ꯑꯉꯥꯡꯅꯥ
অঙাংনি	ꯑꯉꯥꯡꯅꯤ
অঙাংনিনা	ꯑꯉꯥꯡꯅꯤꯅꯥ
অঙাংনোনে	ꯑꯉꯥꯡꯅꯣꯅꯦ
অঙাংবু	ꯑꯉꯥꯡꯕꯨ
অঙাংশা	ꯑꯉꯥꯡꯁꯥ
অঙাংশিং	ꯑꯉꯥꯡꯁꯤꯡ
অঙাংশিংগী	ꯑꯉꯥꯡꯁꯤꯡꯒꯤ
অঙাংশিংদা	ꯑꯉꯥꯡꯁꯤꯡꯗꯥ
অঙাংশিংদুনা	ꯑꯉꯥꯡꯁꯤꯡꯗꯨꯅꯥ
অঙাংশিংনদি	ꯑꯉꯥꯡꯁꯤꯡꯅꯗꯤ
অঙাংশিংনা	ꯑꯉꯥꯡꯁꯤꯡꯅꯥ
অঙাংসি	ꯑꯉꯥꯡꯁꯤ
অঙাওবগী	ꯑꯉꯥꯨꯎꯕꯒꯤ
অঙাওবা	ꯑꯉꯥꯎꯕ ꯥ
অঙাওবীনি	ꯑꯉꯥꯨꯎꯕꯤꯅꯤ
অঙাওবীরা	ꯑꯉꯥꯎꯕꯤꯔꯥ
অঙাঙ্বমুক	ꯑꯉꯥꯡꯕꯃꯨꯛ
অঙাঙ্বমুক্	ꯑꯉꯥꯡꯕꯃꯨꯛ
অঙান্বা	ꯑꯉꯥꯟꯕꯥ
অঙাম্বা	ꯑꯉꯥꯝꯕꯥ
অঙৌবা	ꯑꯉꯧꯕꯥ
অঙৌবাদু	ꯑꯉꯧꯕꯥꯗꯨ
অঙ্গুর	ꯑꯪꯒꯨꯔ
অচম্বা	ꯑꯆꯝꯕꯥ
অচা	ꯑꯆꯥ
অচাক্পা	ꯑꯆꯥꯛꯄꯥ
অচাগােৎ	ꯑꯆꯥꯒꯣꯠ
অচান্বগা	ꯑꯆꯥꯟꯕꯒꯥ
অচাপোত	ꯑꯆꯥꯄꯣꯇ
অচাবা	ꯑꯆꯥꯕꯥ
অচিনবা	ꯑꯆꯤꯟꯕꯥ
অচুম	ꯑꯆꯨꯝ
অচুম্বনা	ꯑꯆꯨꯝꯕꯅꯥ
অচুম্বনি	ꯑꯆꯨꯝꯕꯅꯤ
অচুম্বরনে	ꯑꯆꯨꯝꯕꯔꯅꯦ
অচুম্বা	ꯑꯆꯨꯝꯕꯥ
অচূম্বা	ꯑꯆꯨꯝꯕꯥ
অচেৎপা	ꯑꯆꯦꯠꯄꯥ
অচোন	ꯑꯆꯣꯟ
অচোন্	ꯑꯆꯣꯟ
অচোন্বা	ꯑꯆꯣꯟꯕꯥ
অচৌ	ꯑꯆꯧ
অচৌগী	ꯑꯆꯧꯒꯤ
অচৌবদু	ꯑꯆꯧꯕꯗꯨ
অচৌবদুনা	ꯑꯆꯧꯕꯗꯨꯅꯥ
অচৌবসিনা	ꯑꯆꯧꯕꯁꯤꯅꯥ
অচৌবা	ꯑꯆꯧꯕꯥ
অচ্চা	ꯑꯆꯆꯥ
অতত্পা	ꯑꯇꯠꯄꯥ
অতপ্পা	ꯑꯇꯞꯄꯥ
অতা	ꯑꯇꯥ
অতাওবনচীংবা	ꯑꯇꯥꯎꯕꯟꯆꯤꯡꯕꯥ
অতিয়া	ꯑꯇꯤꯌꯥ
অতিয়াগী	ꯑꯇꯤꯌꯥꯒꯤ
অতিয়াদা	ꯑꯇꯤꯌꯥꯗꯥ
অতুম্বা	ꯑꯇꯨꯝꯕꯥ
অতেক	ꯑꯇꯦꯛ
অতেক্পকা	ꯑꯇꯦꯛꯄꯀꯥ
অতেক্পা	ꯑꯇꯦꯛꯄꯥ
অতৈ	ꯑꯇꯩ
অতৈগা	ꯑꯇꯩꯒꯥ
অতৈগী	ꯑꯇꯩꯒꯤ
অতৈদি	ꯑꯇꯩꯗꯤ
অতৈনা	ꯑꯇꯩꯅꯥ
অতোন্বগী	ꯑꯇꯣꯟꯕꯒꯤ
অতোন্বদুনা	ꯑꯇꯣꯟꯕꯗꯨꯅꯥ
অতোন্বনা	ꯑꯇꯣꯟꯕꯅꯥ
অতোন্বনি	ꯑꯇꯣꯟꯕꯅꯤ
অতোন্ববুনা	ꯑꯇꯣꯟꯕꯕꯨꯅꯥ
অতোন্বা	ꯑꯇꯣꯟꯕꯥ
অতোন্বী	ꯑꯇꯣꯟꯕꯤ
অতোন্বীনা	ꯑꯇꯣꯟꯕꯤꯅꯥ
অতোপ	ꯑꯇꯣꯄ
অতোপা	ꯑꯇꯣꯄꯥ
অতোপ্	ꯑꯇꯣꯞ
অতোপ্পা	ꯑꯇꯣꯞꯄꯥ
অতোম্বদুদি	ꯑꯇꯣꯝꯕꯗꯨꯗꯤ
অতোম্বনা	ꯑꯇꯣꯝꯕꯅꯥ
অতোম্বা	ꯑꯇꯣꯝꯕꯥ
অতোম্বিনি	ꯑꯇꯣꯝꯕꯤꯅꯤ
অতোম্বী	ꯑꯇꯣꯝꯕꯤ
অতোম্বীগী	ꯑꯇꯣꯝꯕꯤꯒꯤ
অতোম্বীদা	ꯑꯇꯣꯝꯕꯤꯗꯥ
অতোম্বীদুদা	ꯑꯇꯣꯝꯕꯤꯗꯨꯗꯥ
অতোম্বীনা	ꯑꯇꯣꯝꯕꯤꯅꯥ
অতোম্বীবু	ꯑꯇꯣꯝꯕꯤꯕꯨ
অতোম্বীসিবু	ꯑꯇꯣꯝꯕꯤꯁꯤꯕꯨ
অথক	ꯑꯊꯛ
অথক্লা	ꯑꯊꯛꯂꯥ
অথন্বা	ꯑꯊꯟꯕꯥ
অথিংবা	ꯑꯊꯤꯡꯕꯥ
অথুবদা	ꯑꯊꯨꯕꯗꯥ
অথুবা	ꯑꯊꯨꯕꯥ
অথুম্	ꯑꯊꯨꯝ
অথুম্নগা	ꯑꯊꯨꯝꯅꯒꯥ
অথূপ্পা	ꯑꯊꯨꯞꯄꯥ
অথেংবদা	ꯑꯊꯦꯡꯕꯗꯥ
অথেংবা	ꯑꯊꯦꯡꯕꯥ
অথেঙ্বদা	ꯑꯊꯦꯡꯕꯗꯥ
অথেঙ্বা	ꯑꯊꯦꯡꯕꯥ
অথোংবা	ꯑꯊꯣꯡꯕꯥ
অথোই	ꯑꯊꯣꯢ
