অংগ্রেজশিংবু	ꯑꯪꯒ꯭ꯔꯦꯖꯁꯤꯡꯕꯨ
অংগ্রেসশিংনা	ꯑꯪꯒ꯭ꯔꯦꯁꯁꯤꯡꯅꯥ
অংথা	ꯑꯪꯊꯥ
অংলোং	ꯑꯪꯂꯣꯡ
অংলোংদা	ꯑꯪꯂꯣꯡꯗꯥ
অইং	ꯑꯏꯪ
অইংবদগী	ꯑꯏꯪꯕꯗꯒꯤ
অইংবা	ꯑꯏꯪꯕꯥ
অইন	ꯑꯏꯟ
অইবশিং	ꯑꯏꯕꯁꯤꯡ
অইবশিংগী	ꯑꯏꯕꯁꯤꯡꯒꯤ
অইবশিংনা	ꯑꯏꯕꯁꯤꯡꯅꯥ
অইবশিংবু	ꯑꯏꯕꯁꯤꯡꯕꯨ
অইবা	ꯑꯏꯕꯥ
অইবী	ꯑꯏꯕꯤ
অইবীশিংগী	ꯑꯏꯕꯤꯁꯤꯡꯒꯤ
অইবীশিংগীদমক	ꯑꯏꯕꯤꯁꯤꯡꯒꯤꯗꯃꯛ
অইবীশিংনা	ꯑꯏꯕꯤꯁꯤꯡꯅꯥ
অইবীশিংবু	ꯑꯏꯕꯤꯁꯤꯡꯕꯨ
অইসোলেসন	ꯑꯏꯁꯣꯂꯦꯁꯟ
অঈং	ꯑꯏꯪ
অওক	ꯑꯑꯣꯛ
অওকশিং	ꯑꯑꯣꯛꯁꯤꯡ
অওকশিংদা	ꯑꯑꯣꯛꯁꯤꯡꯗꯥ
অওনবশিং	ꯑꯑꯣꯟꯕꯁꯤꯡ
অওনবশিংগী	ꯑꯑꯣꯟꯕꯁꯤꯡꯒꯤ
অওনবা	ꯑꯑꯣꯟꯕꯥ
অকংবা	ꯑꯀꯪꯕꯥ
অককনবা	ꯑꯀꯛꯅꯕꯥ
অকক্ননা	ꯑꯀꯛꯅꯅꯥ
অকক্নবা	ꯑꯀꯛꯅꯕꯥ
অকক্নহনবা	ꯑꯀꯛꯅꯍꯟꯕꯥ
অকনবা	ꯑꯀꯟꯕꯥ
অকশৈ	ꯑꯛꯁꯩ
অকা	ꯑꯀꯥ
অকাই	ꯑꯀꯥꯢ
অকাইগী	ꯑꯀꯥꯢꯒꯤ
অকাইবা	ꯑꯀꯥꯢꯕꯥ
অকাইশিং	ꯑꯀꯥꯢꯁꯤꯡ
অকানে	ꯑꯀꯥꯅꯦ
অকাবা	ꯑꯀꯥꯕꯥ
অকামপাৎ	ꯑꯀꯥꯝꯄꯥꯠ
অকামপাৎতা	ꯑꯀꯥꯝꯄꯥꯠꯇꯥ
অকাম্পাৎ	ꯑꯀꯥꯝꯄꯥꯠ
অকাম্পাৎতা	ꯑꯀꯥꯝꯄꯥꯠꯇꯥ
অকাম্পাৎনা	ꯑꯀꯥꯝꯄꯥꯠꯅꯥ
অকালি	ꯑꯀꯥꯂꯤ
অকাশ	ꯑꯀꯥꯁ
অকাশবনি	ꯑꯀꯥꯁꯕꯅꯤ
অকাশবানি	ꯑꯀꯥꯁꯕꯥꯅꯤ
অকাশবানিগা	ꯑꯀꯥꯁꯕꯥꯅꯤꯒꯥ
অকাশবানিগী	ꯑꯀꯥꯁꯕꯥꯅꯤꯒꯤ
অকাশবানিগীদি	ꯑꯀꯥꯁꯕꯥꯅꯤꯒꯤꯗꯤ
অকাশবানিদা	ꯑꯀꯥꯁꯕꯥꯅꯤꯗꯥ
অকাশবানিনসু	ꯑꯀꯥꯁꯕꯥꯅꯤꯅꯁꯨ
অকাশবানিনা	ꯑꯀꯥꯁꯕꯥꯅꯤꯅꯥ
অকাশাবনি	ꯑꯀꯥꯁꯥꯕꯅꯤ
অকাশাবানি	ꯑꯀꯥꯁꯥꯕꯥꯅꯤ
অকাশাবানিগী	ꯑꯀꯥꯁꯥꯕꯥꯅꯤꯒꯤ
অকাস	ꯑꯀꯥꯁ
অকায়	ꯑꯀꯥꯢ
অকায়গী	ꯑꯀꯥꯢꯒꯤ
অকায়দগী	ꯑꯀꯥꯢꯗꯒꯤ
অকায়বদি	ꯑꯀꯥꯢꯕꯗꯤ
অকায়বশিং	ꯑꯀꯥꯢꯕꯁꯤꯡ
অকায়বা	ꯑꯀꯥꯢꯕꯥ
অকায়বাা	ꯑꯀꯥꯢꯕꯥ
অকায়শিং	ꯑꯀꯥꯢꯁꯤꯡ
অকায়শিংসু	ꯑꯀꯥꯢꯁꯤꯡꯁꯨ
অকি	ꯑꯀꯤ
অকিব	ꯑꯀꯤꯕ
অকিবগী	ꯑꯀꯤꯕꯒꯤ
অকিবনা	ꯑꯀꯤꯕꯅꯥ
অকিবশিং	ꯑꯀꯤꯕꯁꯤꯡ
অকিবা	ꯑꯀꯤꯕꯥ
অকিল	ꯑꯀꯤꯜ
অকুপ্পা	ꯑꯀꯨꯞꯄꯥ
অকুম	ꯑꯀꯨꯝ
অকুৎপা	ꯑꯀꯨꯠꯄꯥ
অকোইজম	ꯑꯀꯣꯢꯖꯝ
অকোইবগী	ꯑꯀꯣꯢꯕꯒꯤ
অকোইবদা	ꯑꯀꯣꯢꯕꯗꯥ
অকোইবা	ꯑꯀꯣꯢꯕꯥ
অকোনগী	ꯑꯀꯣꯟꯒꯤ
অকোনবগী	ꯑꯀꯣꯟꯕꯒꯤ
অকোয়বগী	ꯑꯀꯣꯢꯕꯒꯤ
অকোয়বদা	ꯑꯀꯣꯢꯕꯗꯥ
অকোয়বা	ꯑꯀꯣꯢꯕꯥ
অকোয়সনানা	ꯑꯀꯣꯢꯁꯅꯥꯅꯥ
অক্তর	ꯑꯛꯇꯔ
অক্তরনা	ꯑꯛꯇꯔꯅꯥ
অকয়াদা	ꯑꯀꯌꯥꯗꯥ
অখং	ꯑꯈꯪ
অখঙ	ꯑꯈꯪ
অখন্দা	ꯑꯈꯟꯗꯥ
অখন্ননা	ꯑꯈꯟꯅꯅꯥ
অখন্নবা	ꯑꯈꯟꯅꯕꯥ
অখম	ꯑꯈꯝ
অখাক	ꯑꯈꯥꯛ
অখাকপা	ꯑꯈꯥꯛꯄꯥ
অখাঙ	ꯑꯈꯥꯡ
অখাম	ꯑꯈꯥꯝ
অখিল	ꯑꯈꯤꯜ
অখিলেস	ꯑꯈꯤꯂꯦꯁ
অখুই	ꯑꯈꯨꯢ
