অ	ꯑ
অইং	ꯑꯏꯪ
অইংবা	ꯑꯏꯪꯕꯥ
অইবশিংনা	ꯑꯏꯕꯁꯤꯡꯅ
অইবশিংবু	ꯑꯏꯕꯁꯤꯡꯕꯨ
অইবা	ꯑꯏꯕꯥ
অইবী	ꯑꯏꯕꯤ
অইবীশিংনা	ꯑꯏꯕꯤꯁꯤꯡꯅ
অইবীশিংবু	ꯑꯏꯕꯤꯁꯤꯡꯕꯨ
অওক	ꯑꯑꯣꯛ
অওকশিং	ꯑꯑꯣꯛꯁꯤꯡ
অওকশিংদা	ꯑꯑꯣꯛꯁꯤꯗꯥ
অওনবশিং	ꯑꯑꯣꯟꯕꯁꯤꯡ
অওনবা	ꯑꯑꯣꯟꯕ
অকংবা	 ꯑꯀꯪꯕ
অকংবা	ꯑꯀꯪꯕ
অককনবা	ꯑꯀꯛꯅꯕ
অকক্নবা	ꯑꯀꯛꯅꯕ
অকনবা	ꯑꯀꯟꯕ
অকা	ꯑꯀꯥ
অকাই	ꯑꯀꯥꯢ
অকাইবা	ꯑꯀꯥꯢꯕ
অকামপাৎতা	ꯑꯀꯥꯝꯄꯥꯠꯇ
অকাম্পাৎনা	ꯑꯀꯥꯝꯄꯥꯠꯅ
অকাশবানি	ꯑꯀꯥꯁꯕꯥꯅꯤ
অকাস	ꯑꯀꯥꯁ
অকায়	ꯑꯀꯥꯢ
অকায়গী	ꯑꯀꯥꯢꯒꯤ
অকায়বা	ꯑꯀꯥꯢꯕ
অকায়শিং	ꯑꯀꯥꯢꯁꯤꯡ
অকি	ꯑꯀꯤ
অকিবগী	ꯑꯀꯤꯕꯒꯤ
অকিবনা	ꯑꯀꯤꯕꯅ
অকিবশিং	ꯑꯀꯤꯕꯁꯤꯡ
অকিবা	ꯑꯀꯤꯕ
অকুপ্পা	ꯑꯀꯨꯞꯄ
অকুম	ꯑꯀꯨꯝ
অকুৎপা	ꯑꯀꯨꯠꯄ
অকূপ্পা	 ꯑꯀꯨꯞꯄ
অকে	 ꯑꯀꯦ
অখং	ꯑꯈꯪ
অখঙ	ꯑꯈꯪ
অখঙবা	 ꯑꯈꯪꯕꯥ
অখন্ননা	ꯑꯈꯟꯅꯅꯥ
অখন্নবা	ꯑꯈꯟꯅꯕ
অখম	ꯑꯈꯝ
অখাকপা	ꯑꯈꯥꯛꯄ
অখাঙ	ꯑꯈꯥꯡ
অখাম	ꯑꯈꯥꯝ
অখিল	ꯑꯈꯤꯜ
অখুবা	 ꯑꯈꯨꯕꯥ
অখুম	 ꯑꯈꯨꯝ
অগনি	ꯑꯒꯅꯤ
অগরৱালনা	ꯑꯒꯔꯋꯥꯜꯅ
অগষ্ট	ꯑꯒꯁ꯭ꯇ
অগী	ꯑꯥꯒꯤ
অগে	 ꯑꯒꯦ
অগ্রাদা	ꯑꯒ꯭ꯔꯥꯗꯥ
অঙকপনা	 ꯑꯉꯛꯄꯅ
অঙকপা	ꯑꯉꯛꯄ
অঙনবদগী	ꯑꯉꯟꯕꯗꯒꯤ
অঙনবদা	ꯑꯉꯟꯕꯗ
অঙনবা	ꯑꯉꯟꯕ
অঙম	ꯑꯉꯝ
অঙম্বা	ꯑꯉꯝꯕ
অঙম্বী	ꯑꯉꯝꯕꯤ
অঙাং	ꯑꯉꯥꯡ
অঙাংগা	 ꯑꯉꯥꯪꯒꯥ
অঙাংগী	ꯑꯉꯥꯡꯒꯤ
অঙাংদা	ꯑꯉꯥꯡꯗꯥ
অঙাংদু	 ꯑꯉꯥꯡꯗꯨ
অঙাংদুগী	 ꯑꯉꯥꯡꯗꯨꯒꯤ
অঙাংনা	 ꯑꯉꯥꯡꯅ
অঙাংবা	ꯑꯉꯥꯡꯕ
অঙাংবু	 ꯑꯉꯥꯡꯕꯨ
অঙাংশিং	ꯑꯉꯥꯡꯁꯤꯡ
অঙাংশিংগা	ꯑꯉꯥꯡꯁꯤꯡꯒ
অঙাংশিংগী	ꯑꯉꯥꯡꯁꯤꯡꯒꯤ
অঙাংশিংগীদমক	ꯑꯉꯥꯡꯁꯤꯡꯒꯤꯗꯃꯛ
অঙাংশিংদগী	ꯑꯉꯥꯡꯁꯤꯡꯗꯒꯤ
অঙাংশিংদা	ꯑꯉꯥꯡꯁꯤꯡꯗꯥ
অঙাংশিংদি	ꯑꯉꯥꯡꯁꯤꯡꯗꯤ
অঙাংশিংনা	ꯑꯉꯥꯡꯁꯤꯡꯅꯥ
অঙাংশিংবু	ꯑꯉꯥꯡꯁꯤꯡꯕꯨ
অঙাংশিংসু	ꯑꯉꯥꯡꯁꯤꯡꯁꯨ
অঙাংহল	ꯑꯉꯥꯡꯍꯜ
অঙাওবা	ꯑꯉꯥꯎꯕ
অঙানবনা	ꯑꯉꯥꯟꯕꯅ
অঙাম	ꯑꯉꯥꯝ
অঙ্ক	ꯑꯪꯀ
অঙ্কগী	ꯑꯡꯀꯒꯤ
অঙ্গনৱাদি	ꯑꯡꯒꯟꯋꯥꯗꯤ
অচংবা	ꯑꯆꯪꯕ
অচম্বা	ꯑꯆꯝꯕ
অচা	ꯑꯆꯥ
অচাবা	ꯑꯆꯥꯕꯥ
অচার	ꯑꯆꯥꯔ
অচারিয়া	ꯑꯆꯥꯔꯤꯌꯥ
অচুম	ꯑꯆꯨꯃ
অচুম্বগী	ꯑꯆꯨꯝꯕꯒꯤ
অচুম্বগীদমক	ꯑꯆꯨꯝꯕꯒꯤꯗꯃꯛ
অচুম্বনা	ꯑꯆꯨꯝꯕꯅ
অচুম্বনি	ꯑꯆꯨꯝꯕꯅꯤ
অচুম্ববু	ꯑꯆꯨꯝꯕꯕꯨ
অচুম্বা	ꯑꯆꯨꯝꯕ
অচেৎপা	ꯑꯆꯦꯠꯄꯥ
অচৎ	ꯑꯆꯠ
অজ	ꯑꯖ
অজাদ	ꯑꯖꯥꯗ
অজিজুল	ꯑꯖꯤꯖꯨꯜ
অজিৎ	ꯑꯖꯤꯠ
অজয়	ꯑꯖꯌ
অটল	ꯑꯇꯜ
অটসুম	ꯑꯠꯁꯨꯝ
অটসুমগী	ꯑꯠꯁꯨꯝꯒꯤ
অতম্ননা	ꯑꯇꯝꯅꯅ
অতা	ꯑꯇꯥ
অতাংবা	ꯑꯇꯥꯡꯕ
অতাঙবা	ꯑꯇꯥꯡꯕꯥ
অতাবা	ꯑꯇꯥꯕ
অতিথি	ꯑꯇꯤꯊꯤ
