অ	ꯑ
অইংবা	ꯑꯏꯪꯕꯥ
অইবা	ꯑꯏꯕꯥ
অউন	 ꯑꯎꯟ
অউন্	 ꯑꯎꯟ
অউবা	 ꯑꯎꯕꯥ
অওং	 ꯑꯑꯣꯡ
অওইবা	ꯑꯑꯣꯢꯕ
অকংবদি	 ꯑꯀꯪꯕꯗꯤ
অকংবদুদগী	 ꯑꯀꯪꯕꯗꯨꯗꯒꯤ
অকংবনা	 ꯑꯀꯪꯕꯅ
অকংবা	 ꯑꯀꯪꯕ
অকংবা	ꯑꯀꯪꯕ
অকক্পা	 ꯑꯀꯛꯄ
অকঙ্বা	 ꯑꯀꯪꯕ
অকনবা	ꯑꯀꯟꯕ
অকন্	 ꯑꯀꯟ
অকন্বদুনা	ꯑꯀꯟꯕꯗꯨꯅ
অকন্বনা	 ꯑꯀꯟꯕꯅ
অকন্বনি	 ꯑꯀꯟꯕꯅꯤ
অকন্ববু	 ꯑꯀꯟꯕꯕꯨ
অকন্বশিংদুবু	 ꯑꯀꯟꯕꯁꯤꯡꯗꯨꯕꯨ
অকন্বা	 ꯑꯀꯟꯕ
অকােইজম	 ꯑꯀꯣꯢꯖꯝ
অকায়বা	ꯑꯀꯥꯢꯕ
অকায়্বা	 ꯑꯀꯥꯢꯕꯥ
অকিবগী	ꯑꯀꯤꯕꯒꯤ
অকিবশিং	ꯑꯀꯤꯕꯁꯤꯡ
অকিবা	ꯑꯀꯤꯕ
অকূপ্পা	 ꯑꯀꯨꯞꯄ
অকে	 ꯑꯀꯦ
অকোইবগী	ꯑꯀꯣꯢꯕꯒꯤ
অকোন্বগী	 ꯑꯀꯣꯟꯕ
অকোন্বগী	 ꯑꯀꯣꯟꯕꯒꯤ
অকোন্বদদি	 ꯑꯀꯧꯟꯕꯗꯗꯤ
অকোয়বদা	ꯑꯀꯣꯢꯕꯗ
অকোয়্বদা	 ꯑꯀꯣꯢꯕꯗ
অকোয়্বদু	 ꯑꯀꯣꯢꯕꯗꯨ
অকোয়্বা	 ꯑꯀꯣꯢꯕꯥ
অখঙ	ꯑꯈꯪ
অখঙবা	 ꯑꯈꯪꯕꯥ
অখাক	ꯑꯈꯥꯛ
অখুবা	 ꯑꯈꯨꯕꯥ
অখুম	 ꯑꯈꯨꯝ
অখোন্বা	 ꯑꯈꯣꯟꯕꯥ
অখোয়	 ꯑꯈꯣꯢ
অখোয়্দি	 ꯑꯈꯣꯢꯗꯤ
অগনৈসকা	 ꯑꯒꯅꯩꯁꯀꯥ
অগস্ত	 ꯑꯒꯁ꯭ꯠ
অগে	 ꯑꯒꯦ
অঙংদুনা	ꯑꯉꯪꯗꯨꯅꯥ
অঙংশিংনা	 ꯑꯉꯪꯁꯤꯡꯅꯥ
অঙকপনা	 ꯑꯉꯛꯄꯅ
অঙকপা	ꯑꯉꯛꯄ
অঙক্পগী	 ꯑꯡꯛꯄꯒꯤ
অঙক্পনা	 ꯑꯉꯛꯄꯅ
অঙক্পনি	 ꯑꯉꯛꯄꯅꯤ
অঙক্পা	 ꯑꯉꯛꯄꯥ
অঙনফৌ	 ꯑꯉꯟꯐꯧ
অঙনবদা	ꯑꯉꯟꯕꯗ
অঙন্বদা	 ꯑꯉꯟꯕꯗꯥ
অঙম	ꯑꯉꯝ
অঙম্	 ꯑꯉꯝ
অঙম্বশিংগী	 ꯑꯉꯝꯕꯁꯤꯡꯒꯤ
অঙম্বা	ꯑꯉꯝꯕ
অঙাং	ꯑꯉꯥꯡ
অঙাংগা	 ꯑꯉꯥꯡꯒꯥ
অঙাংগী	ꯑꯉꯥꯡꯒꯤ
অঙাংদু	 ꯑꯉꯥꯡꯗꯨ
অঙাংদুগী	 ꯑꯉꯥꯡꯗꯨꯒꯤ
অঙাংদুনা	 ꯑꯉꯥꯡꯗꯨꯅ
অঙাংদো	 ꯑꯉꯥꯡꯗꯣ
অঙাংনা	 ꯑꯉꯥꯡꯅ
অঙাংনি	 ꯑꯉꯥꯡꯅꯤ
অঙাংনিনা	ꯑꯉꯥꯡꯅꯤꯅ
অঙাংনোনে	 ꯑꯉꯥꯡꯅꯣꯅꯦ
অঙাংবু	 ꯑꯉꯥꯡꯕꯨ
অঙাংশা	ꯑꯉꯥꯡꯁꯥ
অঙাংশিং	ꯑꯉꯥꯡꯁꯤꯡ
অঙাংশিংগী	ꯑꯉꯥꯡꯁꯤꯡꯒꯤ
অঙাংশিংদা	ꯑꯉꯥꯡꯁꯤꯡꯗꯥ
অঙাংশিংদুনা	 ꯑꯉꯥꯡꯁꯤꯡꯗꯨꯅ
অঙাংশিংনদি	 ꯑꯉꯥꯡꯁꯤꯡꯅꯗꯤ
অঙাংশিংনা	ꯑꯉꯥꯡꯁꯤꯡꯅꯥ
অঙাংসি	 ꯑꯉꯥꯡꯁꯤ
অঙাওবগী	 ꯑꯉꯥꯨꯕꯒꯤ
অঙাওবা	ꯑꯉꯥꯎꯕ
অঙাওবীনি	 ꯑꯉꯥꯨꯕꯤꯅꯤ
অঙাওবীরা	 ꯑꯉꯥꯎꯕꯤꯔꯥ
অঙাঙ্বমুক	 ꯑꯉꯥꯡꯕꯃꯨꯛ
অঙাঙ্বমুক্	 ꯑꯉꯥꯡꯕꯃꯨꯛ
অঙান্বা	 ꯑꯉꯥꯟꯕꯥ
অঙাম্বা	ꯑꯉꯥꯝꯕ
অঙৌবা	ꯑꯉꯧꯕ
অঙৌবাদু	 ꯑꯉꯧꯕꯗꯨ
অঙ্গুর	ꯑꯡꯒꯨꯔ
অচম্বা	ꯑꯆꯝꯕ
অচা	ꯑꯆꯥ
অচাক্পা	ꯑꯆꯥꯛꯄꯥ
অচাগােৎ	ꯑꯆꯥꯒꯥꯦꯠ
অচান্বগা	ꯑꯆꯥꯟꯕꯒꯥ
অচাপোত	ꯑꯆꯥꯄꯣꯇ
অচাবা	ꯑꯆꯥꯕꯥ
অচিনবা	ꯑꯆꯤꯟꯕ
অচুম	ꯑꯆꯨꯃ
অচুম্বনা	ꯑꯆꯨꯝꯕꯅ
অচুম্বনি	ꯑꯆꯨꯝꯕꯅꯤ
অচুম্বরনে	ꯑꯆꯨꯝꯕꯔꯅꯦ
অচুম্বা	ꯑꯆꯨꯝꯕ
অচূম্বা	ꯑꯆꯨꯝꯕꯥ
অচেৎপা	ꯑꯆꯦꯠꯄꯥ
অচোন	ꯑꯆꯣꯅ
অচোন্	ꯑꯆꯣꯟ
অচোন্বা	ꯑꯆꯣꯟꯕꯥ
অচৌ	ꯑꯆꯧ
অচৌগী	ꯑꯆꯧꯒꯤ
অচৌবদু	ꯑꯆꯧꯕꯗꯨ
অচৌবদুনা	ꯑꯆꯧꯕꯗꯨꯅꯥ
অচৌবসিনা	ꯑꯆꯧꯕꯁꯤꯅꯥ
অচৌবা	ꯑꯆꯧꯕ
অচ্চা	ꯑꯆꯆꯥ
অতত্পা	ꯑꯇꯠꯄꯥ
অতপ্পা	ꯑꯇꯞꯄꯥ
অতা	ꯑꯇꯥ
অতাওবনচীংবা	ꯑꯇꯥꯑꯣꯕꯟꯆꯤꯡꯕꯥ
অতিয়া	ꯑꯇꯤꯌꯥ
অতিয়াগী	ꯑꯇꯤꯌꯥꯒꯤ
অতিয়াদা	ꯑꯇꯤꯌꯥꯗ
অতুম্বা	ꯑꯇꯨꯝꯕꯥ
অতেক	ꯑꯇꯦꯛ
অতেক্পকা	ꯑꯇꯦꯛꯄꯀꯥ
অতেক্পা	ꯑꯇꯦꯛꯄꯥ
অতৈ	ꯑꯇꯩ
অতৈগা	ꯑꯇꯩꯒ
অতৈগী	ꯑꯇꯩꯒꯤ
অতৈদি	ꯑꯇꯩꯗꯤ
অতৈনা	ꯑꯇꯩꯅ
অতোন্বগী	ꯑꯇꯣꯟꯕꯒꯤ
অতোন্বদুনা	ꯑꯇꯣꯟꯕꯗꯨꯅꯥ
অতোন্বনা	ꯑꯇꯣꯟꯕꯅꯥ
অতোন্বনি	ꯑꯇꯣꯟꯕꯅꯤ
অতোন্ববুনা	ꯑꯇꯣꯟꯕꯕꯨꯅꯥ
অতোন্বা	ꯑꯇꯣꯟꯕꯥ
অতোন্বী	ꯑꯇꯣꯟꯕꯤ
অতোন্বীনা	ꯑꯇꯣꯟꯕꯤꯅꯥ
অতোপ	ꯑꯇꯣꯞ
অতোপা	ꯑꯇꯣꯄꯥ
অতোপ্	ꯑꯇꯣꯞ
অতোপ্পা	ꯑꯇꯣꯞꯄ
অতোম্বদুদি	ꯑꯇꯣꯝꯕꯗꯨꯗꯤ
অতোম্বনা	ꯑꯇꯣꯝꯕꯅꯥ
অতোম্বা	ꯑꯇꯣꯝꯕꯥ
অতোম্বিনি	ꯑꯇꯣꯝꯕꯤꯅꯤ
অতোম্বী	ꯑꯇꯣꯝꯕꯤ
অতোম্বীগী	ꯑꯇꯣꯝꯕꯤꯒꯤ
অতোম্বীদা	ꯑꯇꯣꯝꯕꯤꯗꯥ
অতোম্বীদুদা	ꯑꯇꯣꯝꯕꯤꯗꯨꯗꯥ
অতোম্বীনা	ꯑꯇꯣꯝꯕꯤꯅꯥ
অতোম্বীবু	ꯑꯇꯣꯝꯕꯤꯕꯨ
অতোম্বীসিবু	ꯑꯇꯣꯝꯕꯤꯁꯤꯕꯨ
অথক	ꯑꯊꯛ
অথক্লা	ꯑꯊꯛꯂꯥ
অথন্বা	ꯑꯊꯟꯕꯥ
অথিংবা	ꯑꯊꯤꯡꯕꯥ
অথুবদা	ꯑꯊꯨꯕꯗꯥ
অথুবা	ꯑꯊꯨꯕꯥ
অথুম্	ꯑꯊꯨꯝ
অথুম্নগা	ꯑꯊꯨꯝꯅꯒꯥ
অথূপ্পা	ꯑꯊꯨꯞꯄꯥ
অথেংবদা	ꯑꯊꯦꯡꯕꯗꯥ
অথেংবা	ꯑꯊꯦꯡꯕꯥ
অথেঙ্বদা	ꯑꯊꯦꯡꯕꯗꯥ
অথেঙ্বা	ꯑꯊꯦꯡꯕꯥ
অথোংবা	ꯑꯊꯣꯡꯕꯥ
অথোই	ꯑꯊꯣꯢ
অথোইবনা	ꯑꯊꯣꯏꯕꯅꯥ
