অংথা	ꯑꯪꯊꯥ
অংলোং	ꯑꯪꯂꯣꯡ
অংলোংদা	ꯑꯪꯂꯣꯡꯗꯥ
অকশৈ	ꯑꯛꯁꯩ
অকানে	ꯑꯀꯥꯅꯦ
অকামপাৎ	ꯑꯀꯥꯝꯄꯥꯠ
অকামপাৎতা	ꯑꯀꯥꯝꯄꯥꯠꯇꯥ
অকাম্পাৎ	ꯑꯀꯥꯝꯄꯥꯠ
অকাম্পাৎতা	ꯑꯀꯥꯝꯄꯥꯠꯇꯥ
অকাম্পাৎনা	ꯑꯀꯥꯝꯄꯥꯠꯅꯥ
অকালি	ꯑꯀꯥꯂꯤ
অকিল	ꯑꯀꯤꯜ
অক্তর	ꯑꯛꯇꯔ
অক্তরনা	ꯑꯛꯇꯔꯅꯥ
অকয়াদা	ꯑꯀꯌꯥꯗꯥ
অখন্দা	ꯑꯈꯟꯗꯥ
অখিল	ꯑꯈꯤꯜ
অখিলেস	ꯑꯈꯤꯂꯦꯁ
অখুই	ꯑꯈꯨꯢ
অখুনজদাগী	ꯑꯈꯨꯟꯖꯗꯥꯒꯤ
অখুনজদানা	ꯑꯈꯨꯟꯖꯗꯥꯅꯥ
অখুন্দ	ꯑꯈꯨꯟ꯭ꯗ
অখুন্দজাদানা	ꯑꯈꯨꯟ꯭ꯗꯖꯥꯗꯥꯅꯥ
অখুন্দনা	ꯑꯈꯨꯟ꯭ꯗꯅꯥ
অগনানিনা	ꯑꯒꯅꯥꯅꯤꯅꯥ
অগনি	ꯑꯒꯅꯤ
অগভা	ꯑꯒꯚꯥ
অগর	ꯑꯒꯔ
অগরগী	ꯑꯒꯔꯒꯤ
অগরটলা	ꯑꯒꯔꯇꯂꯥ
অগরটলাগী	ꯑꯒꯔꯇꯂꯥꯒꯤ
অগরটলাগীদমক	ꯑꯒꯔꯇꯂꯥꯒꯤꯗꯃꯛ
অগরটলাদা	ꯑꯒꯔꯇꯂꯥꯗꯥ
