অ	ꯑ
অংগ্রেজশিংবু	ꯑꯪꯒ্ꯔꯦꯖꯁꯤꯪꯕꯨ
অংগ্রেসশিংনা	ꯑꯪꯒ্ꯔꯦꯁꯁꯤꯪꯅꯥ
অংথা	ꯑꯪꯊꯥ
অংলোং	ꯑꯪꯂꯣꯪ
অংলোংদা	ꯑꯪꯂꯣꯪꯗꯥ
অইং	ꯑꯏꯪ
অইংবদগী	ꯑꯏꯪꯕꯗꯒꯤ
অইংবা	ꯑꯏꯪꯕꯥ
অইবশিংনা	ꯑꯏꯕꯁꯤꯪꯅꯥ
অইবশিংবু	ꯑꯏꯕꯁꯤꯪꯕꯨ
অইবশিগী	ꯑꯏꯕꯁꯤꯒꯤ
অইবা	ꯑꯏꯕꯥ
অইবাশিংগী	ꯑꯏꯕꯥꯁꯤꯪꯒꯤ
অইবাশিংগীদমক	ꯑꯏꯕꯥꯁꯤꯪꯒꯤꯗꯃꯀ
অইবাশিংনা	ꯑꯏꯕꯥꯁꯤꯪꯅꯥ
অইবাশিংবু	ꯑꯏꯕꯥꯁꯤꯪꯕꯨ
অইবী	ꯑꯏꯕꯤ
অইবীশিংগী	ꯑꯏꯕꯤꯁꯤꯪꯒꯤ
অইবীশিংগীদমক	ꯑꯏꯕꯤꯁꯤꯪꯒꯤꯗꯃꯀ
অইবীশিংনা	ꯑꯏꯕꯤꯁꯤꯪꯅꯥ
অইবীশিংবু	ꯑꯏꯕꯤꯁꯤꯪꯕꯨ
অঈং	ꯑꯏꯪ
অউন	ꯑꯎꯅ
অউন্	ꯑꯎꯟ
অউবা	ꯑꯎꯕꯥ
অওং	ꯑꯑꯣꯪ
অওইবা	ꯑꯑꯣꯏꯕꯥ
অওক	ꯑꯑꯣꯀ
অওকশিং	ꯑꯑꯣꯀꯁꯤꯪ
অওকশিংদা	ꯑꯑꯣꯀꯁꯤꯪꯗꯥ
অওনবশিং	ꯑꯑꯣꯅꯕꯁꯤꯪ
অওনবশিংগী	ꯑꯑꯣꯅꯕꯁꯤꯪꯒꯤ
অওনবা	ꯑꯑꯣꯅꯕꯥ
অকংবদা	ꯑꯀꯪꯕꯗꯥ
অকংবদি	ꯑꯀꯪꯕꯗꯤ
অকংবদুদগী	ꯑꯀꯪꯕꯗꯨꯗꯒꯤ
অকংবদুদা	ꯑꯀꯪꯕꯗꯨꯗꯥ
অকংবনা	ꯑꯀꯪꯕꯅꯥ
অকংবা	ꯑꯀꯪꯕꯥ
অককনবা	ꯑꯀꯀꯅꯕꯥ
অকক্ননা	ꯑꯀꯛꯅꯅꯥ
অকক্নবা	ꯑꯀꯛꯅꯕꯥ
অকক্নহনবা	ꯑꯀꯛꯅꯍꯅꯕꯥ
অকক্পা	ꯑꯀꯛꯄꯥ
অকঙ্বা	ꯑꯀꯡꯕꯥ
অকনবা	ꯑꯀꯅꯕꯥ
অকন্	ꯑꯀꯟ
অকন্বদুনা	ꯑꯀꯟꯕꯗꯨꯅꯥ
অকন্বনা	ꯑꯀꯟꯕꯅꯥ
অকন্বনি	ꯑꯀꯟꯕꯅꯤ
অকন্ববু	ꯑꯀꯟꯕꯕꯨ
অকন্বশিংদুবু	ꯑꯀꯟꯕꯁꯤꯪꯗꯨꯕꯨ
অকন্বা	ꯑꯀꯟꯕꯥ
অকশৈ	ꯑꯀꯁꯩ
অকা	ꯑꯀꯥ
অকাই	ꯑꯀꯥꯏ
অকাইগী	ꯑꯀꯥꯏꯒꯤ
অকাইবা	ꯑꯀꯥꯏꯕꯥ
অকাইশিং	ꯑꯀꯥꯏꯁꯤꯪ
অকানে	ꯑꯀꯥꯅꯦ
অকাবা	ꯑꯀꯥꯕꯥ
অকামপাৎ	ꯑꯀꯥꯃꯄꯥꯇ
অকামপাৎতা	ꯑꯀꯥꯃꯄꯥꯇꯇꯥ
অকাম্পাৎ	ꯑꯀꯥꯝꯄꯥꯇ
অকাম্পাৎতা	ꯑꯀꯥꯝꯄꯥꯇꯇꯥ
অকাম্পাৎনা	ꯑꯀꯥꯝꯄꯥꯇꯅꯥ
অকায়	ꯑꯀꯥꯌ়
অকায়বা	ꯑꯀꯥꯌ়ꯕꯥ
অকালি	ꯑꯀꯥꯂꯤ
অকাশ	ꯑꯀꯥꯁ
অকাশবনি	ꯑꯀꯥꯁꯕꯅꯤ
অকাশবানি	ꯑꯀꯥꯁꯕꯥꯅꯤ
অকাশবানিগা	ꯑꯀꯥꯁꯕꯥꯅꯤꯒꯥ
অকাশবানিগী	ꯑꯀꯥꯁꯕꯥꯅꯤꯒꯤ
অকাশবানিগীদি	ꯑꯀꯥꯁꯕꯥꯅꯤꯒꯤꯗꯤ
অকাশবানিদা	ꯑꯀꯥꯁꯕꯥꯅꯤꯗꯥ
অকাশবানিনসু	ꯑꯀꯥꯁꯕꯥꯅꯤꯅꯁꯨ
অকাশবানিনা	ꯑꯀꯥꯁꯕꯥꯅꯤꯅꯥ
অকাশাবনি	ꯑꯀꯥꯁꯥꯕꯅꯤ
অকাশাবানি	ꯑꯀꯥꯁꯥꯕꯥꯅꯤ
অকাশাবানিগী	ꯑꯀꯥꯁꯥꯕꯥꯅꯤꯒꯤ
অকাস	ꯑꯀꯥꯁ
অকােইজম	ꯑꯀꯥꯦꯏꯖꯃ
