অ	ꯑ
অংগ্রেজশিংবু	ꯑꯪꯒ꯭ꯔꯦꯖꯁꯤꯡꯕꯨ
অংগ্রেসশিংনা	ꯑꯪꯒ꯭ꯔꯦꯁꯁꯤꯡꯅꯥ
অংথা	ꯑꯪꯊꯥ
অংলোং	ꯑꯪꯂꯣꯡ
অংলোংদা	ꯑꯪꯂꯣꯡꯗꯥ
অইং	ꯑꯏꯪ
অইংবদগী	ꯑꯏꯪꯕꯗꯒꯤ
অইংবা	ꯑꯏꯪꯕꯥ
অইবশিংনা	ꯑꯏꯕꯁꯤꯡꯅ
অইবশিংবু	ꯑꯏꯕꯁꯤꯡꯕꯨ
অইবা	ꯑꯏꯕꯥ
অইবী	ꯑꯏꯕꯤ
অইবীশিংগী	ꯑꯏꯕꯤꯁꯤꯡꯒꯤ
অইবীশিংগীদমক	ꯑꯏꯕꯤꯁꯤꯡꯒꯤꯗꯃꯛ
অইবীশিংনা	ꯑꯏꯕꯤꯁꯤꯡꯅ
অইবীশিংবু	ꯑꯏꯕꯤꯁꯤꯡꯕꯨ
অঈং	ꯑꯏꯪ
অউন	 ꯑꯎꯟ
অউন্	 ꯑꯎꯟ
অউবা	 ꯑꯎꯕꯥ
অওং	 ꯑꯑꯣꯡ
অওইবা	ꯑꯑꯣꯢꯕ
অওক	ꯑꯑꯣꯛ
অওকশিং	ꯑꯑꯣꯛꯁꯤꯡ
অওকশিংদা	ꯑꯑꯣꯛꯁꯤꯗꯥ
অওনবশিং	ꯑꯑꯣꯟꯕꯁꯤꯡ
অওনবশিংগী	ꯑꯑꯣꯟꯕꯁꯤꯡꯒꯤ
অওনবা	ꯑꯑꯣꯟꯕ
অকংবদি	 ꯑꯀꯪꯕꯗꯤ
অকংবদুদগী	 ꯑꯀꯪꯕꯗꯨꯗꯒꯤ
অকংবনা	 ꯑꯀꯪꯕꯅ
অকংবা	ꯑꯀꯪꯕ
অককনবা	ꯑꯀꯛꯅꯕ
অকক্ননা	ꯑꯀꯛꯅꯅ
অকক্নবা	ꯑꯀꯛꯅꯕ
অকক্নহনবা	ꯑꯀꯛꯅꯍꯟꯕ
অকক্পা	 ꯑꯀꯛꯄ
অকঙ্বা	 ꯑꯀꯪꯕ
অকনবা	ꯑꯀꯟꯕ
অকন্	 ꯑꯀꯟ
অকন্বদুনা	ꯑꯀꯟꯕꯗꯨꯅ
অকন্বনা	 ꯑꯀꯟꯕꯅ
অকন্বনি	 ꯑꯀꯟꯕꯅꯤ
অকন্ববু	 ꯑꯀꯟꯕꯕꯨ
অকন্বশিংদুবু	 ꯑꯀꯟꯕꯁꯤꯡꯗꯨꯕꯨ
অকন্বা	 ꯑꯀꯟꯕ
অকশৈ	ꯑꯛꯁꯩ
অকা	ꯑꯀꯥ
অকাই	ꯑꯀꯥꯢ
অকাইগী	ꯑꯀꯥꯢꯒꯤ
অকাইবা	ꯑꯀꯥꯢꯕ
অকাইশিং	ꯑꯀꯥꯢꯁꯤꯡ
অকানে	ꯑꯀꯥꯅꯦ
অকাবা	ꯑꯀꯥꯕꯥ
অকামপাৎ	ꯑꯀꯥꯝꯄꯥꯠ
অকামপাৎতা	ꯑꯀꯥꯝꯄꯥꯠꯇ
অকাম্পাৎ	ꯑꯀꯥꯝꯄꯥꯠ
অকাম্পাৎতা	ꯑꯀꯥꯝꯄꯥꯠꯇ
অকাম্পাৎনা	ꯑꯀꯥꯝꯄꯥꯠꯅ
অকালি	ꯑꯀꯥꯂꯤ
অকাশ	ꯑꯀꯥꯁ
অকাশবনি	ꯑꯀꯥꯁꯕꯥꯅꯤ
অকাশবানি	ꯑꯀꯥꯁꯕꯥꯅꯤ
অকাশবানিগা	ꯑꯀꯥꯁꯕꯥꯅꯤꯒ
অকাশবানিগী	ꯑꯀꯥꯁꯕꯥꯅꯤꯒꯤ
অকাশবানিগীদি	ꯑꯀꯥꯁꯕꯥꯅꯤꯒꯤꯗꯤ
অকাশবানিদা	ꯑꯀꯥꯁꯕꯥꯅꯤꯗꯥ
অকাশবানিনসু	ꯑꯀꯥꯁꯕꯥꯅꯤꯅꯁꯨ
অকাশবানিনা	ꯑꯀꯥꯁꯕꯥꯅꯤꯅ
অকাশাবনি	ꯑꯀꯥꯁꯥꯕꯥꯅꯤ
অকাশাবানি	ꯑꯀꯥꯁꯥꯕꯥꯅꯤ
অকাশাবানিগী	ꯑꯀꯥꯁꯥꯕꯥꯅꯤꯒꯤ
অকাস	ꯑꯀꯥꯁ
অকােইজম	 ꯑꯀꯣꯢꯖꯝ
অকায়	ꯑꯀꯥꯢ
অকায়গী	ꯑꯀꯥꯢꯒꯤ
অকায়দগী	ꯑꯀꯥꯢꯗꯒꯤ
অকায়বদি	ꯑꯀꯥꯢꯕꯗꯤ
অকায়বশিং	ꯑꯀꯥꯢꯕꯁꯤꯡ
অকায়বা	ꯑꯀꯥꯢꯕ
অকায়শিং	ꯑꯀꯥꯢꯁꯤꯡ
অকায়শিংসু	ꯑꯀꯥꯢꯁꯤꯡꯁꯨ
অকায়্বা	 ꯑꯀꯥꯢꯕꯥ
অকি	ꯑꯀꯤ
অকিব	ꯑꯀꯤꯕ
অকিবগী	ꯑꯀꯤꯕꯒꯤ
অকিবনা	ꯑꯀꯤꯕꯅ
অকিবশিং	ꯑꯀꯤꯕꯁꯤꯡ
অকিবা	ꯑꯀꯤꯕ
অকিল	ꯑꯀꯤꯜ
অকুপ্পা	ꯑꯀꯨꯞꯄ
অকুম	ꯑꯀꯨꯝ
অকুৎপা	ꯑꯀꯨꯠꯄ
অকূপ্পা	 ꯑꯀꯨꯞꯄ
অকে	 ꯑꯀꯦ
অকোইজম	ꯑꯀꯣꯢꯖꯝ
অকোইবগী	ꯑꯀꯣꯢꯕꯒꯤ
অকোইবদা	ꯑꯀꯣꯏꯕꯗ
অকোইবা	ꯑꯀꯣꯏꯕ
অকোনগী	ꯑꯀꯣꯟꯒꯤ
অকোনবগী	ꯑꯀꯣꯟꯕꯒꯤ
অকোন্বগী	 ꯑꯀꯣꯟꯕꯒꯤ
অকোন্বদদি	 ꯑꯀꯧꯟꯕꯗꯗꯤ
অকোয়বগী	ꯑꯀꯣꯢꯕꯒꯤ
অকোয়বদা	ꯑꯀꯣꯢꯕꯗ
অকোয়বা	ꯑꯀꯣꯢꯕ
অকোয়সনানা	ꯑꯀꯣꯢꯁꯅꯥꯅ
অকোয়্বদা	 ꯑꯀꯣꯢꯕꯗ
অকোয়্বদু	 ꯑꯀꯣꯢꯕꯗꯨ
অকোয়্বা	 ꯑꯀꯣꯢꯕꯥ
অক্তর	ꯑꯛꯇꯔ
অক্তরনা	ꯑꯛꯇꯔꯅ
অকয়াদা	ꯑꯛꯌꯥꯗ
অখং	ꯑꯈꯪ
অখঙ	ꯑꯈꯪ
অখঙবা	 ꯑꯈꯪꯕꯥ
অখন্দা	ꯑꯈꯟꯗꯥ
অখন্ননা	ꯑꯈꯟꯅꯅꯥ
অখন্নবা	ꯑꯈꯟꯅꯕ
অখম	ꯑꯈꯝ
অখাক	ꯑꯈꯥꯛ
অখাকপা	ꯑꯈꯥꯛꯄ
অখাঙ	ꯑꯈꯥꯡ
অখাম	ꯑꯈꯥꯝ
অখিল	ꯑꯈꯤꯜ
অখিলেস	ꯑꯈꯤꯂꯦꯁ
অখুই	ꯑꯈꯨꯢ
অখুনজদাগী	ꯑꯈꯨꯟꯖꯗꯥꯒꯤ
অখুনজদানা	ꯑꯈꯨꯟꯖꯗꯥꯅ
অখুন্দ	ꯑꯈꯨꯟ꯭ꯗ
অখুন্দজাদানা	ꯑꯈꯨꯟ꯭ꯗꯖꯥꯗꯥꯅ
অখুন্দনা	ꯑꯈꯨꯟ꯭ꯗꯅ
অখুবা	 ꯑꯈꯨꯕꯥ
অখুম	 ꯑꯈꯨꯝ
অখোন্বা	 ꯑꯈꯣꯟꯕꯥ
অখোয়	 ꯑꯈꯣꯢ
অখোয়্দি	 ꯑꯈꯣꯢꯗꯤ
অগনানিনা	ꯑꯒꯅꯥꯅꯤꯅ
অগনি	ꯑꯒꯅꯤ
অগনৈসকা	 ꯑꯒꯅꯩꯁꯀꯥ
অগনৱাদি	ꯑꯒꯟꯋꯥꯗꯤ
অগভা	ꯑꯒꯚꯥ
অগর	ꯑꯒꯔ
অগরগী	ꯑꯒꯔꯒꯤ
অগরটলা	ꯑꯒꯔꯇꯂꯥ
অগরটলাগী	ꯑꯒꯔꯇꯂꯥꯒꯤ
অগরটলাগীদমক	ꯑꯒꯔꯇꯂꯥꯒꯤꯗꯃꯛ
অগরটলাদা	ꯑꯒꯔꯇꯂꯥꯗꯥ
অগরতালা	ꯑꯒꯔꯇꯂꯥ
অগরতালাগা	ꯑꯒꯔꯇꯂꯥꯒ
অগরতালাগী	ꯑꯒꯔꯇꯂꯥꯒꯤ
অগরতালাদগী	ꯑꯒꯔꯇꯂꯥꯗꯒꯤ
অগরৱাননা	ꯑꯒꯔꯋꯥꯟꯅꯥ
