lang1,lang2
অ,ꯑ
অংগ্রেজশিংবু,ꯑꯪꯒ꯭ꯔꯦꯖꯁꯤꯡꯕꯨ
অংগ্রেসশিংনা,ꯑꯪꯒ꯭ꯔꯦꯁꯁꯤꯡꯅꯥ
অংথা,ꯑꯪꯊꯥ
অংলোং,ꯑꯪꯂꯣꯡ
অংলোংদা,ꯑꯪꯂꯣꯡꯗꯥ
অইং,ꯑꯏꯪ
অইংবদগী,ꯑꯏꯪꯕꯗꯒꯤ
অইংবা,ꯑꯏꯪꯕꯥ
অইবশিংনা,ꯑꯏꯕꯁꯤꯡꯅꯥ
অইবশিংবু,ꯑꯏꯕꯁꯤꯡꯕꯨ
অইবশিগী,ꯑꯏꯕꯁꯤꯒꯤ
অইবা,ꯑꯏꯕꯥ
অইবাশিংগী,ꯑꯏꯕꯥꯁꯤꯡꯒꯤ
অইবাশিংগীদমক,ꯑꯏꯕꯥꯁꯤꯡꯒꯤꯗꯝꯛ
অইবাশিংনা,ꯑꯏꯕꯥꯁꯤꯡꯅꯥ
অইবাশিংবু,ꯑꯏꯕꯥꯁꯤꯡꯕꯨ
অইবী,ꯑꯏꯕꯤ
অইবীশিংগী,ꯑꯏꯕꯤꯁꯤꯡꯒꯤ
অইবীশিংগীদমক,ꯑꯏꯕꯤꯁꯤꯡꯒꯤꯗꯝꯛ
অইবীশিংনা,ꯑꯏꯕꯤꯁꯤꯡꯅꯥ
অইবীশিংবু,ꯑꯏꯕꯤꯁꯤꯡꯕꯨ
অঈং,ꯑꯏꯪ
অউন,ꯑꯎꯟ
অউন্,ꯑꯎꯟ
অউবা,ꯑꯎꯕꯥ
অওং,ꯑꯑꯣꯡ
অওইবা,ꯑꯣꯢꯕꯥ
অওক,ꯑꯑꯣꯛ
অওকশিং,ꯑꯑꯣꯛꯁꯤꯡ
অওকশিংদা,ꯑꯑꯣꯛꯁꯤꯡꯗꯥ
অওনবশিং,ꯑꯑꯣꯟꯕꯁꯤꯡ
অওনবশিংগী,ꯑꯑꯣꯟꯕꯁꯤꯡꯒꯤ
অওনবা,ꯑꯑꯣꯟꯕꯥ
অকংবদা,ꯑꯀꯪꯕꯗꯥ
অকংবদি,ꯑꯀꯪꯕꯗꯤ
অকংবদুদগী,ꯑꯀꯪꯕꯗꯨꯗꯒꯤ
অকংবদুদা,ꯑꯀꯪꯕꯗꯨꯗꯥ
অকংবনা,ꯑꯀꯪꯕꯅꯥ
অকংবা,ꯑꯀꯪꯕꯥ
অককনবা,ꯑꯛꯛꯟꯕꯥ
অকক্ননা,ꯑꯛꯛ꯭ꯟꯅꯥ
অকক্নবা,ꯑꯛꯛ꯭ꯟꯕꯥ
অকক্নহনবা,ꯑꯛꯛ꯭ꯟꯟꯕꯥ
অকক্পা,ꯑꯛꯛꯄꯥ
অকঙ্বা,ꯑꯛꯪ꯭ꯕꯥ
অকনবা,ꯑꯛꯟꯕꯥ
অকন্,ꯑꯛꯟ
অকন্বদুনা,ꯑꯛꯟ꯭ꯕꯗꯨꯅꯥ
অকন্বনা,ꯑꯛꯟ꯭ꯕꯅꯥ
অকন্বনি,ꯑꯛꯟ꯭ꯕꯅꯤ
অকন্ববু,ꯑꯛꯟ꯭ꯕꯕꯨ
অকন্বশিংদুবু,ꯑꯛꯟ꯭ꯕꯁꯤꯡꯗꯨꯕꯨ
অকন্বা,ꯑꯛꯟ꯭ꯕꯥ
অকশৈ,ꯑꯛꯁꯩ
অকা,ꯑꯀꯥ
অকাই,ꯑꯀꯥꯢ
অকাইগী,ꯑꯀꯥꯢꯒꯤ
অকাইবা,ꯑꯀꯥꯢꯕꯥ
অকাইশিং,ꯑꯀꯥꯢꯁꯤꯡ
অকানে,ꯑꯀꯥꯅꯦ
অকাবা,ꯑꯀꯥꯕꯥ
অকামপাৎ,ꯑꯀꯥꯝꯄꯥꯠ
