অ	ꯑ
অংগ্রাজিগীরা	ꯑꯪꯒꯔꯥꯖꯤꯒꯤꯔꯥ
অংথাগী	ꯑꯪꯊꯥꯒꯤ
অই	ꯑꯏ
অইং	ꯑꯏꯪ
অইংবদনা	ꯑꯏꯪꯕꯗꯅꯥ
অইংবা	ꯑꯏꯪꯕꯥ
অইএম	ꯑꯏꯑꯦꯃ
অইটরগী	ꯑꯏꯇꯔꯒꯤ
অইনপোৎ	ꯑꯏꯟꯄꯣꯠ
অইনপোৎকি	ꯑꯏꯟꯄꯣꯠꯀꯤ
অইবগা	ꯑꯏꯕꯒꯥ
অইবগী	ꯑꯏꯕꯒꯤ
অইবগীদি	ꯑꯏꯕꯒꯤꯗꯤ
অইবদা	ꯑꯏꯕꯗꯥ
অইবদি	ꯑꯏꯕꯗꯤ
অইবদুগী	ꯑꯏꯕꯗꯨꯒꯤ
অইবনসু	ꯑꯏꯕꯟꯁꯨ
অইবনা	ꯑꯏꯕꯅꯥ
অইবনি	ꯑꯏꯕꯅꯤ
অইবনিৱারী	ꯑꯏꯕꯅꯤꯋꯥꯔꯤ
অইববু	ꯑꯏꯕꯕꯨ
অইবশিং	ꯑꯏꯕꯁꯤꯡ
অইবশিংগদি	ꯑꯏꯕꯁꯤꯡꯒꯗꯤ
অইবশিংগা	ꯑꯏꯕꯁꯤꯡꯒꯥ
অইবশিংগী	ꯑꯏꯕꯁꯤꯡꯒꯤ
অইবশিংগীদমত্ত	ꯑꯏꯕꯁꯤꯡꯒꯤꯗꯝꯠꯇ
অইবশিংদতা	ꯑꯏꯕꯁꯤꯡꯗꯇꯥ
অইবশিংদসু	ꯑꯏꯕꯁꯤꯡꯗꯁꯨ
অইবশিংদা	ꯑꯏꯕꯁꯤꯡꯗꯥ
অইবশিংদি	ꯑꯏꯕꯁꯤꯡꯗꯤ
অইবশিংনা	ꯑꯏꯕꯁꯤꯡꯅꯥ
অইবশিংবু	ꯑꯏꯕꯁꯤꯡꯕꯨ
অইবশিংসিনা	ꯑꯏꯕꯁꯤꯡꯁꯤꯅꯥ
অইবশিংসু	ꯑꯏꯕꯁꯤꯡꯁꯨ
অইবসি	ꯑꯏꯕꯁꯤ
অইবসিগী	ꯑꯏꯕꯁꯤꯒꯤ
অইবসিনা	ꯑꯏꯕꯁꯤꯅꯥ
অইবসু	ꯑꯏꯕꯁꯨ
অইবা	ꯑꯏꯕꯥ
অইবী	ꯑꯏꯕꯤ
অইবীগী	ꯑꯏꯕꯤꯒꯤ
অইবীনা	ꯑꯏꯕꯤꯅꯥ
অইবীনি	ꯑꯏꯕꯤꯅꯤ
অইবীশিং	ꯑꯏꯕꯤꯁꯤꯡ
অইবীশিংদি	ꯑꯏꯕꯤꯁꯤꯡꯗꯤ
অইবীশিংনা	ꯑꯏꯕꯤꯁꯤꯡꯅꯥ
অইবীশিংবু	ꯑꯏꯕꯤꯁꯤꯡꯕꯨ
অইি	ꯑꯏꯤ
অউন	ꯑꯎꯟ
অউন্	ꯑꯎꯟ
অউবা	ꯑꯎꯕꯥ
অওং	ꯑꯑꯣꯡ
অওংনা	ꯑꯑꯣꯡꯅꯥ
অওইবা	ꯑꯑꯣꯏꯕꯥ
অওক	ꯑꯑꯣꯀ
অওকশিং	ꯑꯑꯣꯀꯁꯤꯡ
অওকশিংগী	ꯑꯑꯣꯀꯁꯤꯡꯒꯤ
অওকশিংদা	ꯑꯑꯣꯀꯁꯤꯡꯗꯥ
অওকশিংনা	ꯑꯑꯣꯀꯁꯤꯡꯅꯥ
অওনবদা	ꯑꯑꯣꯅꯕꯗꯥ
অওনবশিং	ꯑꯑꯣꯅꯕꯁꯤꯡ
অওনবসু	ꯑꯑꯣꯅꯕꯁꯨ
অওনবা	ꯑꯑꯣꯅꯕꯥ
অকংবদি	ꯑꯀꯪꯕꯗꯤ
অকংবদুদগী	ꯑꯀꯪꯕꯗꯨꯗꯒꯤ
অকংবনা	ꯑꯀꯪꯕꯅꯥ
অকংবা	ꯑꯀꯪꯕꯥ
অককনবা	ꯑꯀꯛꯅꯕꯥ
অককপগা	ꯑꯀꯛꯄꯒꯥ
অককপা	ꯑꯀꯛꯄꯥ
অকক্নবনি	ꯑꯀꯛꯅꯕꯅꯤ
অকক্নবা	ꯑꯀꯛꯅꯕꯥ
অকক্পা	ꯑꯀꯛꯄꯥ
অকঙ্বা	ꯑꯀꯡꯕꯥ
অকণ্ডতটণ্তটঝ	ꯑꯀꯟꯗꯠꯇꯟꯇꯇꯓ
অকন	ꯑꯀꯟ
অকনবনা	ꯑꯀꯟꯕꯅꯥ
অকনবশিং	ꯑꯀꯟꯕꯁꯤꯡ
অকনবশিংনা	ꯑꯀꯟꯕꯁꯤꯡꯅꯥ
অকনবা	ꯑꯀꯟꯕꯥ
অকন্	ꯑꯀꯟ
অকন্বদুনা	ꯑꯀꯟꯕꯗꯨꯅꯥ
অকন্বনা	ꯑꯀꯟꯕꯅꯥ
অকন্বনি	ꯑꯀꯟꯕꯅꯤ
অকন্ববু	ꯑꯀꯟꯕꯕꯨ
অকন্বশিংদুবু	ꯑꯀꯟꯕꯁꯤꯡꯗꯨꯕꯨ
অকন্বা	ꯑꯀꯟꯕꯥ
অকবর	ꯑꯀꯕꯔ
অকবরনসু	ꯑꯀꯕꯔꯟꯁꯨ
অকবিা	ꯑꯀꯕꯤꯥ
অকম্বা	ꯑꯀꯝꯕꯥ
অকশয়	ꯑꯀꯁꯌ
অকস্লিমনা	ꯑꯀꯁꯂꯤꯃꯅꯥ
অকা	ꯑꯀꯥ
অকাংজম	ꯑꯀꯥꯡꯖꯝ
অকাংবনা	ꯑꯀꯥꯡꯕꯅꯥ
অকাই	ꯑꯀꯥꯏ
অকাইবা	ꯑꯀꯥꯏꯕꯥ
অকাওন্টেবিলিটি	ꯑꯀꯥꯑꯣꯟꯇꯦꯕꯤꯂꯤꯇꯤ
অকাওবা	ꯑꯀꯥꯑꯣꯕꯥ
অকাচৈনা	ꯑꯀꯥꯆꯩꯅꯥ
অকাদমি	ꯑꯀꯥꯗꯃꯤ
অকানবা	ꯑꯀꯥꯅꯕꯥ
অকাবদি	ꯑꯀꯥꯕꯗꯤ
অকামপাৎতা	ꯑꯀꯥꯃꯄꯥꯠꯇꯥ
অকাম্পাৎনা	ꯑꯀꯥꯝꯄꯥꯠꯅꯥ
অকাম্বিদৌনা	ꯑꯀꯥꯝꯕꯤꯗꯦꯤꯅꯥ
অকায়	ꯑꯀꯥꯌ
অকায়বা	ꯑꯀꯥꯌꯕꯥ
